      Step     Time          Energy         fmax
BFGS:    0 09:15:40  -592307.558901        3.7462
BFGS:    1 09:16:04  -592307.228793       10.2718
BFGS:    2 09:16:24  -592307.650792        0.6402
BFGS:    3 09:16:45  -592307.653006        0.1154
BFGS:    4 09:17:05  -592307.653653        0.0837
BFGS:    5 09:17:25  -592307.653810        0.0589
BFGS:    6 09:17:48  -592307.654314        0.0128
BFGS:    7 09:18:09  -592307.654325        0.0113
BFGS:    8 09:18:32  -592307.654361        0.0031
BFGS:    9 09:18:52  -592307.654352        0.0007
