      Step     Time          Energy         fmax
BFGS:    0 09:20:14  -948688.763594        6.2236
BFGS:    1 09:20:52  -948685.374749       39.8844
BFGS:    2 09:21:19  -948688.910139        2.0587
BFGS:    3 09:21:44  -948688.914864        0.9471
BFGS:    4 09:22:12  -948688.922417        0.3808
BFGS:    5 09:22:38  -948688.922337        0.0804
BFGS:    6 09:23:02  -948688.922584        0.0686
BFGS:    7 09:23:27  -948688.923307        0.1159
BFGS:    8 09:23:53  -948688.923610        0.0488
BFGS:    9 09:24:18  -948688.923808        0.0230
BFGS:   10 09:24:44  -948688.923880        0.0314
BFGS:   11 09:25:13  -948688.923871        0.0193
BFGS:   12 09:25:38  -948688.923842        0.0040
BFGS:   13 09:26:04  -948688.923817        0.0092
BFGS:   14 09:26:31  -948688.923795        0.0200
BFGS:   15 09:26:57  -948688.923793        0.0201
BFGS:   16 09:27:25  -948688.923812        0.0091
BFGS:   17 09:27:50  -948688.923828        0.0015
BFGS:   18 09:28:17  -948688.923833        0.0018
BFGS:   19 09:28:41  -948688.923837        0.0048
BFGS:   20 09:29:06  -948688.923837        0.0061
BFGS:   21 09:29:33  -948688.923829        0.0042
BFGS:   22 09:30:00  -948688.923822        0.0013
BFGS:   23 09:30:25  -948688.923819        0.0001
